position_id;auftrag_id;pos_nr;leistung;art;menge;einheit;einzelpreis_netto_eur;gesamtpreis_netto_eur
A-2026-0001-010;A-2026-0001;10;Demontage und Entsorgung Altarmatur;lohn;0.5;h;79.5;39.75
A-2026-0001-020;A-2026-0001;20;Montage Einhebelmischer Küche, verchromt;lohn;1.0;h;79.5;79.5
A-2026-0001-030;A-2026-0001;30;Einhebelmischer Grohe Eurosmart, Ausladung 220 mm;material;1;Stk;118.0;118.0
A-2026-0001-040;A-2026-0001;40;Anfahrtpauschale Stadtgebiet;anfahrt;1;psch;39.0;39.0
A-2026-0002-010;A-2026-0002;10;Demontage Altleuchten inkl. fachgerechter Entsorgung;lohn;18;Stk;24.0;432.0
A-2026-0002-020;A-2026-0002;20;Montage LED-Wannenleuchte 1200 mm, IP65;lohn;18;Stk;41.0;738.0
A-2026-0002-030;A-2026-0002;30;LED-Wannenleuchte 1200 mm, 36 W, 4000 K;material;18;Stk;47.9;862.2
A-2026-0002-040;A-2026-0002;40;Bewegungsmelder 180 Grad, Unterputz, inkl. Einbau;lohn;6;Stk;96.5;579.0
A-2026-0002-050;A-2026-0002;50;Leitungsverlegung Treppenhaus, NYM-J 3x1,5;lohn;42.0;m;6.8;285.6
A-2026-0002-060;A-2026-0002;60;Messprotokoll und Prüfbericht nach DIN VDE 0100-600;lohn;1;psch;185.0;185.0
A-2026-0002-070;A-2026-0002;70;Anfahrtpauschale Stadtgebiet;anfahrt;4;psch;39.0;156.0
A-2026-0003-010;A-2026-0003;10;Notdienstzuschlag Anfahrt außerhalb Regelarbeitszeit;anfahrt;1;psch;145.0;145.0
A-2026-0003-020;A-2026-0003;20;Gerüststellung Traufseite, 6 m, inkl. Auf- und Abbau;fremdleistung;1;psch;480.0;480.0
A-2026-0003-030;A-2026-0003;30;Dachdeckerarbeiten Neueindeckung Teilfläche;lohn;7.5;h;72.5;543.75
A-2026-0003-040;A-2026-0003;40;Dachziegel Frankfurter Pfanne, rot engobiert;material;22;Stk;4.35;95.7
A-2026-0003-050;A-2026-0003;50;Unterspannbahn Reparatur inkl. Klebeband;material;12.0;m2;9.6;115.2
A-2026-0003-060;A-2026-0003;60;Notabdeckung Plane inkl. Befestigung;lohn;1;psch;165.0;165.0
A-2026-0003-070;A-2026-0003;70;Anfahrt Überland;anfahrt;34.7;km;1.15;39.91
A-2026-0004-010;A-2026-0004;10;Altfliesen abschlagen Wand und Boden inkl. Entsorgung;lohn;21.0;m2;28.5;598.5
A-2026-0004-020;A-2026-0004;20;Untergrund spachteln und grundieren;lohn;21.0;m2;14.9;312.9
A-2026-0004-030;A-2026-0004;30;Abdichtung im Verbund, Verbundabdichtung W2-I;lohn;21.0;m2;22.4;470.4
A-2026-0004-040;A-2026-0004;40;Fliesen verlegen Wand, Format 30x60;lohn;16.8;m2;58.0;974.4
A-2026-0004-050;A-2026-0004;50;Fliesen verlegen Boden, Format 60x60, rutschhemmend;lohn;4.2;m2;64.0;268.8
A-2026-0004-060;A-2026-0004;60;Silikonfugen Anschluss Sanitärobjekte;lohn;9.5;m;12.8;121.6
A-2026-0004-070;A-2026-0004;70;Containerstellung Bauschutt 3 m3;fremdleistung;1;psch;275.0;275.0
A-2026-0004-080;A-2026-0004;80;Anfahrtpauschale Umland;anfahrt;3;psch;55.0;165.0
A-2026-0005-010;A-2026-0005;10;Wartungspauschale Gasbrennwerttherme lt. Vertrag;lohn;1;psch;189.0;189.0
A-2026-0005-020;A-2026-0005;20;Abgasmessung und Protokoll;lohn;1;psch;48.0;48.0
A-2026-0005-030;A-2026-0005;30;Verschleißteilesatz Dichtungen und Elektrode;material;1;Stk;62.4;62.4
A-2026-0006-010;A-2026-0006;10;Abdecken und Abkleben Böden, Rahmen, Heizkörper;lohn;68.0;m2;4.2;285.6
A-2026-0006-020;A-2026-0006;20;Kleinere Risse und Löcher spachteln;lohn;1;psch;180.0;180.0
A-2026-0006-030;A-2026-0006;30;Sperrgrund auf nikotinbelasteten Flächen;lohn;18.0;m2;11.5;207.0
A-2026-0006-040;A-2026-0006;40;Decken streichen zweimal deckend, weiß;lohn;68.0;m2;9.8;666.4
A-2026-0006-050;A-2026-0006;50;Wände streichen zweimal deckend, weiß;lohn;172.0;m2;8.4;1444.8
A-2026-0006-060;A-2026-0006;60;Endreinigung und Entsorgung Abdeckmaterial;lohn;1;psch;145.0;145.0
A-2026-0006-070;A-2026-0006;70;Anfahrtpauschale Stadtgebiet;anfahrt;5;psch;39.0;195.0
A-2026-0007-010;A-2026-0007;10;Erweiterung Unterverteilung, Einbau Leitungsschutzschalter 32 A;lohn;1;psch;320.0;320.0
A-2026-0007-020;A-2026-0007;20;Leitungsverlegung NYM-J 5x6 auf Kabeltrasse;lohn;26.0;m;18.4;478.4
A-2026-0007-030;A-2026-0007;30;Montage CEE-Steckdose 400 V/32 A, Aufputz;lohn;1;Stk;145.0;145.0
A-2026-0007-040;A-2026-0007;40;Material Leitung, Trasse, Kleinmaterial;material;1;psch;468.0;468.0
A-2026-0007-050;A-2026-0007;50;Inbetriebnahme, Messung und Prüfprotokoll;lohn;1;psch;210.0;210.0
A-2026-0007-060;A-2026-0007;60;Anfahrt Überland;anfahrt;105.2;km;1.15;120.98
A-2026-0008-010;A-2026-0008;10;Ausbau und Transport in die Werkstatt;lohn;4;Stk;185.0;740.0
A-2026-0008-020;A-2026-0008;20;Altanstrich entfernen, Holz ausbessern;lohn;4;Stk;420.0;1680.0
A-2026-0008-030;A-2026-0008;30;Beschläge instandsetzen und gangbar machen;lohn;8;Stk;68.0;544.0
A-2026-0008-040;A-2026-0008;40;Kittfalze erneuern, Leinölkitt;lohn;4;Stk;245.0;980.0
A-2026-0008-050;A-2026-0008;50;Anstrich dreischichtig innen und außen, Leinölfarbe;lohn;4;Stk;390.0;1560.0
A-2026-0008-060;A-2026-0008;60;Dichtungsprofile einfräsen und einziehen;lohn;26.0;m;14.5;377.0
